item_id	Name	Genre	movieID
2762	Sixth Sense, The (1999)	Thriller	38
150	Apollo 13 (1995)	Drama	39
1	Toy Story (1995)	Animation|Children's|Comedy	40
1961	Rain Man (1988)	Drama	41
1962	Driving Miss Daisy (1989)	Drama	42
2692	Run Lola Run (Lola rennt) (1998)	Action|Crime|Romance	43
260	Star Wars: Episode IV - A New Hope (1977)	Action|Adventure|Fantasy|Sci-Fi	44
1028	Mary Poppins (1964)	Children's|Comedy|Musical	45
1029	Dumbo (1941)	Animation|Children's|Musical	46
1207	To Kill a Mockingbird (1962)	Drama	47
2028	Saving Private Ryan (1998)	Action|Drama|War	48
531	Secret Garden, The (1993)	Children's|Drama	49
3114	Toy Story 2 (1999)	Animation|Children's|Comedy	50
608	Fargo (1996)	Crime|Drama|Thriller	51
1246	Dead Poets Society (1989)	Drama	52
1357	Shine (1996)	Drama|Romance	53
3068	Verdict, The (1982)	Drama	54
1537	Shall We Dance? (Shall We Dansu?) (1996)	Comedy	55
647	Courage Under Fire (1996)	Drama|War	56
2194	Untouchables, The (1987)	Action|Crime|Drama	57
648	Mission: Impossible (1996)	Action|Adventure|Mystery	58
2268	Few Good Men, A (1992)	Crime|Drama	59
2628	Star Wars: Episode I - The Phantom Menace (1999)	Action|Adventure|Fantasy|Sci-Fi	60
1103	Rebel Without a Cause (1955)	Drama	61
2916	Total Recall (1990)	Action|Adventure|Sci-Fi|Thriller	62
3468	Hustler, The (1961)	Drama	63
1210	Star Wars: Episode VI - Return of the Jedi (1983)	Action|Adventure|Romance|Sci-Fi|War	64
1792	U.S. Marshalls (1998)	Action|Thriller	65
1687	Jackal, The (1997)	Action|Thriller	66
1213	GoodFellas (1990)	Crime|Drama	67
3578	Gladiator (2000)	Action|Drama	68
2881	Double Jeopardy (1999)	Action|Thriller	69
3030	Yojimbo (1961)	Comedy|Drama|Western	70
1217	Ran (1985)	Drama|War	71
434	Cliffhanger (1993)	Action|Adventure|Crime	72
2126	Snake Eyes (1998)	Action|Crime|Mystery|Thriller	73
3107	Backdraft (1991)	Action|Drama	74
3108	Fisher King, The (1991)	Comedy|Drama|Romance	75
3035	Mister Roberts (1955)	Comedy|Drama|War	76
1253	Day the Earth Stood Still, The (1951)	Drama|Sci-Fi	77
1610	Hunt for Red October, The (1990)	Action|Thriller	78
292	Outbreak (1995)	Action|Drama|Thriller	79
2236	Simon Birch (1998)	Drama	80
3071	Stand and Deliver (1987)	Drama	81
902	Breakfast at Tiffany's (1961)	Drama|Romance	82
368	Maverick (1994)	Action|Comedy|Western	83
1259	Stand by Me (1986)	Adventure|Comedy|Drama	84
3147	Green Mile, The (1999)	Drama|Thriller	85
1544	Lost World: Jurassic Park, The (1997)	Action|Adventure|Sci-Fi|Thriller	86
1293	Gandhi (1982)	Drama	87
1188	Strictly Ballroom (1992)	Comedy|Romance	88
3255	League of Their Own, A (1992)	Comedy|Drama	89
3256	Patriot Games (1992)	Action|Thriller	90
3257	Bodyguard, The (1992)	Action|Drama|Romance|Thriller	91
110	Braveheart (1995)	Action|Drama|War	92
2278	Ronin (1998)	Action|Crime|Thriller	93
2490	Payback (1999)	Action|Thriller	94
1834	Spanish Prisoner, The (1997)	Drama|Thriller	95
3471	Close Encounters of the Third Kind (1977)	Drama|Sci-Fi	96
589	Terminator 2: Judgment Day (1991)	Action|Sci-Fi|Thriller	97
1690	Alien: Resurrection (1997)	Action|Horror|Sci-Fi	98
3654	Guns of Navarone, The (1961)	Action|Drama|War	99
2852	Soldier's Story, A (1984)	Drama	100
1945	On the Waterfront (1954)	Crime|Drama	101
982	Picnic (1955)	Drama	102
1873	Misérables, Les (1998)	Drama	103
2858	American Beauty (1999)	Comedy|Drama	104
1225	Amadeus (1984)	Drama	105
515	Remains of the Day, The (1993)	Drama	106
442	Demolition Man (1993)	Action|Sci-Fi	107
2312	Children of a Lesser God (1986)	Drama	108
265	Like Water for Chocolate (Como agua para chocolate) (1992)	Drama|Romance	109
1408	Last of the Mohicans, The (1992)	Action|Romance|War	110
1084	Bonnie and Clyde (1967)	Crime|Drama	111
3699	Starman (1984)	Adventure|Drama|Romance|Sci-Fi	112
480	Jurassic Park (1993)	Action|Adventure|Sci-Fi	113
1442	Prefontaine (1997)	Drama	114
2067	Doctor Zhivago (1965)	Drama|Romance|War	115
1265	Groundhog Day (1993)	Comedy|Romance	116
1370	Die Hard 2 (1990)	Action|Thriller	117
1801	Man in the Iron Mask, The (1998)	Action|Drama|Romance	118
1372	Star Trek VI: The Undiscovered Country (1991)	Action|Adventure|Sci-Fi	119
2353	Enemy of the State (1998)	Action|Thriller	120
3334	Key Largo (1948)	Crime|Drama|Film-Noir|Thriller	121
2427	Thin Red Line, The (1998)	Action|Drama|War	122
590	Dances with Wolves (1990)	Adventure|Drama|Western	123
1196	Star Wars: Episode V - The Empire Strikes Back (1980)	Action|Adventure|Drama|Sci-Fi|War	124
1552	Con Air (1997)	Action|Adventure|Thriller	125
736	Twister (1996)	Action|Adventure|Romance|Thriller	126
1198	Raiders of the Lost Ark (1981)	Action|Adventure	127
593	Silence of the Lambs, The (1991)	Drama|Thriller	128
2359	Waking Ned Devine (1998)	Comedy	129
95	Broken Arrow (1996)	Action|Thriller	130
2717	Ghostbusters II (1989)	Comedy|Horror	131
2571	Matrix, The (1999)	Action|Sci-Fi|Thriller	132
1917	Armageddon (1998)	Action|Adventure|Sci-Fi|Thriller	133
2396	Shakespeare in Love (1998)	Comedy|Romance	134
3735	Serpico (1973)	Crime|Drama	135
1953	French Connection, The (1971)	Action|Crime|Drama|Thriller	136
1597	Conspiracy Theory (1997)	Action|Mystery|Romance|Thriller	137
3809	What About Bob? (1991)	Comedy	138
1954	Rocky (1976)	Action|Drama	139
1955	Kramer Vs. Kramer (1979)	Drama	140
235	Ed Wood (1994)	Comedy|Drama	141
1124	On Golden Pond (1981)	Drama	142
1957	Chariots of Fire (1981)	Drama	143
163	Desperado (1995)	Action|Romance|Thriller	144
21	Get Shorty (1995)	Action|Comedy|Drama	145
165	Die Hard: With a Vengeance (1995)	Action|Thriller	146
1090	Platoon (1986)	Drama|War	147
380	True Lies (1994)	Action|Adventure|Comedy|Romance	148
2501	October Sky (1999)	Drama	149
349	Clear and Present Danger (1994)	Action|Adventure|Thriller	150
457	Fugitive, The (1993)	Action|Thriller	151
1096	Sophie's Choice (1982)	Drama	152
920	Gone with the Wind (1939)	Drama|Romance|War	153
459	Getaway, The (1994)	Action	154
1527	Fifth Element, The (1997)	Action|Sci-Fi	155
3418	Thelma & Louise (1991)	Action|Drama	156
1385	Under Siege (1992)	Action	157
3451	Guess Who's Coming to Dinner (1967)	Comedy|Drama	158
3095	Grapes of Wrath, The (1940)	Drama	159
780	Independence Day (ID4) (1996)	Action|Sci-Fi|War	160
498	Mr. Jones (1993)	Drama|Romance	161
2728	Spartacus (1960)	Drama	162
2002	Lethal Weapon 3 (1992)	Action|Comedy|Crime|Drama	163
1784	As Good As It Gets (1997)	Comedy|Drama	164
2943	Indochine (1992)	Drama|Romance	165
2006	Mask of Zorro, The (1998)	Action|Adventure|Romance	166
318	Shawshank Redemption, The (1994)	Drama	167
1968	Breakfast Club, The (1985)	Comedy|Drama	168
3678	Man with the Golden Arm, The (1955)	Drama	169
1244	Manhattan (1979)	Comedy|Drama|Romance	170
356	Forrest Gump (1994)	Comedy|Romance|War	171
1245	Miller's Crossing (1990)	Drama	172
3893	Nurse Betty (2000)	Comedy|Thriller	173
1247	Graduate, The (1967)	Drama|Romance	174
3421	Animal House (1978)	Comedy	175
1641	Full Monty, The (1997)	Comedy	176
1394	Raising Arizona (1987)	Comedy	177
3534	28 Days (2000)	Comedy	178
104	Happy Gilmore (1996)	Comedy	179
2735	Golden Child, The (1986)	Action|Adventure|Comedy	180
1431	Beverly Hills Ninja (1997)	Action|Comedy	181
3868	Naked Gun: From the Files of Police Squad!, The (1988)	Comedy	182
1079	Fish Called Wanda, A (1988)	Comedy	183
2997	Being John Malkovich (1999)	Comedy	184
1615	Edge, The (1997)	Adventure|Thriller	185
1291	Indiana Jones and the Last Crusade (1989)	Action|Adventure	186
653	Dragonheart (1996)	Action|Adventure|Fantasy	187
2167	Blade (1998)	Action|Adventure|Horror	188
1580	Men in Black (1997)	Action|Adventure|Comedy|Sci-Fi	189
3619	Hollywood Knights, The (1980)	Comedy	190
1049	Ghost and the Darkness, The (1996)	Action|Adventure	191
1261	Evil Dead II (Dead By Dawn) (1987)	Action|Adventure|Comedy|Horror	192
552	Three Musketeers, The (1993)	Action|Adventure|Comedy	193
1266	Unforgiven (1992)	Western	194
733	Rock, The (1996)	Action|Adventure|Thriller	195
1378	Young Guns (1988)	Action|Comedy|Western	196
1379	Young Guns II (1990)	Action|Comedy|Western	197
3552	Caddyshack (1980)	Comedy	198
1304	Butch Cassidy and the Sundance Kid (1969)	Action|Comedy|Western	199
2470	Crocodile Dundee (1986)	Adventure|Comedy	200
3168	Easy Rider (1969)	Adventure|Drama	201
2617	Mummy, The (1999)	Action|Adventure|Horror|Thriller	202
3671	Blazing Saddles (1974)	Comedy|Western	203
2871	Deliverance (1972)	Adventure|Thriller	204
2115	Indiana Jones and the Temple of Doom (1984)	Action|Adventure	205
1136	Monty Python and the Holy Grail (1974)	Comedy	206
2081	Little Mermaid, The (1989)	Animation|Children's|Comedy|Musical|Romance	207
2951	Fistful of Dollars, A (1964)	Action|Western	208
1214	Alien (1979)	Action|Horror|Sci-Fi|Thriller	209
1036	Die Hard (1988)	Action|Thriller	210
3702	Mad Max (1979)	Action|Sci-Fi	211
2366	King Kong (1933)	Action|Adventure|Horror	212
1387	Jaws (1975)	Action|Horror	213
3527	Predator (1987)	Action|Sci-Fi|Thriller	214
1201	Good, The Bad and The Ugly, The (1966)	Action|Western	215
2947	Goldfinger (1964)	Action	216
1240	Terminator, The (1984)	Action|Sci-Fi|Thriller	217
2987	Who Framed Roger Rabbit? (1988)	Adventure|Animation|Film-Noir	218
2333	Gods and Monsters (1998)	Drama	219
1175	Delicatessen (1991)	Comedy|Sci-Fi	220
39	Clueless (1995)	Comedy|Romance	221
288	Natural Born Killers (1994)	Action|Thriller	222
2337	Velvet Goldmine (1998)	Drama	223
1535	Love! Valour! Compassion! (1997)	Drama|Romance	224
1392	Citizen Ruth (1996)	Comedy|Drama	225
1466	Donnie Brasco (1997)	Crime|Drama	226
860	Maybe, Maybe Not (Bewegte Mann, Der) (1994)	Comedy	227
1683	Wings of the Dove, The (1997)	Drama|Romance|Thriller	228
866	Bound (1996)	Crime|Drama|Romance|Thriller	229
1684	Mrs. Dalloway (1997)	Romance	230
2770	Bowfinger (1999)	Comedy	231
215	Before Sunrise (1995)	Drama|Romance	232
1759	Four Days in September (1997)	Drama	233
501	Naked (1993)	Drama	234
506	Orlando (1993)	Drama	235
1250	Bridge on the River Kwai, The (1957)	Drama|War	236
3793	X-Men (2000)	Action|Sci-Fi	237
509	Piano, The (1993)	Drama|Romance	238
41	Richard III (1995)	Drama|War	239
2058	Negotiator, The (1998)	Action|Thriller	240
3799	Pokémon the Movie 2000 (2000)	Animation|Children's	241
47	Seven (Se7en) (1995)	Crime|Thriller	242
2700	South Park: Bigger, Longer and Uncut (1999)	Animation|Comedy	243
296	Pulp Fiction (1994)	Crime|Drama	244
581	Celluloid Closet, The (1995)	Documentary	245
1617	L.A. Confidential (1997)	Crime|Film-Noir|Mystery|Thriller	246
728	Cold Comfort Farm (1995)	Comedy	247
299	Priest (1994)	Drama	248
3079	Mansfield Park (1999)	Drama	249
2560	Ravenous (1999)	Drama|Horror	250
1909	X-Files: Fight the Future, The (1998)	Mystery|Sci-Fi|Thriller	251
224	Don Juan DeMarco (1995)	Comedy|Drama|Romance	252
3728	One False Move (1991)	Thriller	253
229	Death and the Maiden (1994)	Drama|Thriller	254
6	Heat (1995)	Action|Crime|Thriller	255
3006	Insider, The (1999)	Drama	256
1046	Beautiful Thing (1996)	Drama|Romance	257
800	Lone Star (1996)	Drama|Mystery	258
50	Usual Suspects, The (1995)	Crime|Thriller	259
52	Mighty Aphrodite (1995)	Comedy	260
1191	Madonna: Truth or Dare (1991)	Documentary	261
1192	Paris Is Burning (1990)	Documentary	262
3081	Sleepy Hollow (1999)	Horror|Romance	263
377	Speed (1994)	Action|Romance|Thriller	264
1268	Pump Up the Volume (1990)	Drama	265
3083	All About My Mother (Todo Sobre Mi Madre) (1999)	Comedy|Drama	266
3513	Rules of Engagement (2000)	Drama|Thriller	267
2428	Faculty, The (1998)	Horror|Sci-Fi	268
2282	Pecker (1998)	Comedy|Drama	269
3514	Joe Gould's Secret (2000)	Drama	270
1554	Pillow Book, The (1995)	Drama|Romance	271
1912	Out of Sight (1998)	Action|Crime|Romance	272
2716	Ghostbusters (1984)	Comedy|Horror	273
1485	Liar Liar (1997)	Comedy	274
2289	Player, The (1992)	Comedy|Drama	275
162	Crumb (1994)	Documentary	276
1127	Abyss, The (1989)	Action|Adventure|Sci-Fi|Thriller	277
3016	Creepshow (1982)	Horror	278
2070	Tender Mercies (1983)	Drama	279
1704	Good Will Hunting (1997)	Drama	280
3163	Topsy-Turvy (1999)	Drama	281
2437	Wilde (1997)	Drama	282
2291	Edward Scissorhands (1990)	Drama|Romance	283
1635	Ice Storm, The (1997)	Drama	284
1279	Night on Earth (1991)	Comedy|Drama	285
2721	Trick (1999)	Romance	286
2723	Mystery Men (1999)	Action|Adventure|Comedy	287
1921	Pi (1998)	Sci-Fi|Thriller	288
2725	Twin Falls Idaho (1999)	Drama	289
1923	There's Something About Mary (1998)	Comedy	290
2580	Go (1999)	Crime	291
3386	JFK (1991)	Drama|Mystery	292
3744	Shaft (2000)	Action|Crime	293
968	Night of the Living Dead (1968)	Horror|Sci-Fi	294
896	Wild Reeds (1994)	Drama	295
3020	Falling Down (1993)	Action|Drama	296
1788	Men With Guns (1997)	Action|Drama	297
176	Living in Oblivion (1995)	Comedy	298
461	Go Fish (1994)	Drama|Romance	299
1429	Jackie Chan's First Strike (1996)	Action	300
2159	Henry: Portrait of a Serial Killer (1990)	Crime|Horror	301
1715	Office Killer (1997)	Thriller	302
1643	Mrs. Brown (Her Majesty, Mrs. Brown) (1997)	Drama|Romance	303
3249	Hand That Rocks the Cradle, The (1992)	Thriller	304
3176	Talented Mr. Ripley, The (1999)	Drama|Mystery|Thriller	305
1719	Sweet Hereafter, The (1997)	Drama	306
2806	Teaching Mrs. Tingle (1999)	Comedy|Thriller	307
2734	Mosquito Coast, The (1986)	Drama	308
1649	Fast, Cheap & Out of Control (1997)	Documentary	309
321	Strawberry and Chocolate (Fresa y chocolate) (1993)	Drama	310
2013	Poseidon Adventure, The (1972)	Action|Adventure	311
3100	River Runs Through It, A (1992)	Drama	312
2952	Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)	Crime|Thriller	313
1794	Love and Death on Long Island (1997)	Comedy|Drama	314
2599	Election (1999)	Comedy	315
1500	Grosse Pointe Blank (1997)	Comedy|Crime	316
2959	Fight Club (1999)	Drama	317
1509	All Over Me (1997)	Drama	318
1722	Tomorrow Never Dies (1997)	Action|Romance|Thriller	319
1650	Washington Square (1997)	Drama	320
908	North by Northwest (1959)	Drama|Thriller	321
1653	Gattaca (1997)	Drama|Sci-Fi|Thriller	322
2384	Babe: Pig in the City (1998)	Children's|Comedy	323
1729	Jackie Brown (1997)	Crime|Drama	324
3476	Jacob's Ladder (1990)	Horror|Mystery|Thriller	325
2890	Three Kings (1999)	Drama|War	326
3113	End of Days (1999)	Action|Thriller	327
16	Casino (1995)	Drama|Thriller	328
2029	Billy's Hollywood Screen Kiss (1997)	Comedy|Romance	329
194	Smoke (1995)	Drama	330
551	Nightmare Before Christmas, The (1993)	Children's|Comedy|Musical	331
1513	Romy and Michele's High School Reunion (1997)	Comedy	332
3046	Incredibly True Adventure of Two Girls in Love, The (1995)	Comedy|Romance	333
2318	Happiness (1998)	Comedy	334
1517	Austin Powers: International Man of Mystery (1997)	Comedy	335
1089	Reservoir Dogs (1992)	Crime|Thriller	336
3260	Howards End (1992)	Drama	337
913	Maltese Falcon, The (1941)	Film-Noir|Mystery	338
1730	Kundun (1997)	Drama	339
3409	Final Destination (2000)	Drama|Thriller	340
2607	Get Real (1998)	Drama	341
1449	Waiting for Guffman (1996)	Comedy	342
1732	Big Lebowski, The (1998)	Comedy|Crime|Mystery|Thriller	343
1733	Afterglow (1997)	Drama|Romance	344
2390	Little Voice (1998)	Comedy	345
1734	My Life in Pink (Ma vie en rose) (1997)	Comedy|Drama	346
3266	Man Bites Dog (C'est arrivé près de chez vous) (1992)	Action|Comedy|Crime|Drama	347
3267	Mariachi, El (1992)	Action|Thriller	348
3624	Shanghai Noon (2000)	Action	349
2395	Rushmore (1998)	Comedy	350
1594	In the Company of Men (1997)	Drama	351
2683	Austin Powers: The Spy Who Shagged Me (1999)	Comedy	352
412	Age of Innocence, The (1993)	Drama	353
2759	Dick (1999)	Comedy	354
994	Big Night (1996)	Drama	355
1884	Fear and Loathing in Las Vegas (1998)	Comedy|Drama	356
1885	Opposite of Sex, The (1998)	Comedy|Drama	357
272	Madness of King George, The (1994)	Drama	358
24	Powder (1995)	Drama|Sci-Fi	359
3051	Anywhere But Here (1999)	Drama	360
348	Bullets Over Broadway (1994)	Comedy	361
2323	Cruise, The (1998)	Documentary	362
1093	Doors, The (1991)	Drama|Musical	363
29	City of Lost Children, The (1995)	Adventure|Sci-Fi	364
562	Welcome to the Dollhouse (1995)	Comedy|Drama	365
1095	Glengarry Glen Ross (1992)	Drama	366
1529	Nowhere (1997)	Drama	367
2188	54 (1998)	Drama	368
497	Much Ado About Nothing (1993)	Comedy|Romance	369
202	Total Eclipse (1995)	Drama|Romance	370
1747	Wag the Dog (1997)	Comedy|Drama	371
2908	Boys Don't Cry (1999)	Drama	372
1966	Metropolitan (1990)	Comedy	373
3499	Misery (1990)	Horror	374
353	Crow, The (1994)	Action|Romance|Thriller	375
32	Twelve Monkeys (1995)	Drama|Sci-Fi	376
1243	Rosencrantz and Guildenstern Are Dead (1990)	Comedy|Drama	377
1897	High Art (1998)	Drama|Romance	378
1171	Bob Roberts (1992)	Comedy	379
3786	But I'm a Cheerleader (1999)	Comedy	380
34	Babe (1995)	Children's|Comedy|Drama	381
357	Four Weddings and a Funeral (1994)	Comedy|Romance	382
36	Dead Man Walking (1995)	Drama	383
714	Dead Man (1995)	Western	384
2406	Romancing the Stone (1984)	Action|Adventure|Comedy|Romance	385
1101	Top Gun (1986)	Action|Romance	386
3717	Gone in 60 Seconds (2000)	Action|Crime	387
1030	Pete's Dragon (1977)	Adventure|Animation|Children's|Musical	388
1688	Anastasia (1997)	Animation|Children's|Musical	389
364	Lion King, The (1994)	Animation|Children's|Musical	390
3501	Murphy's Romance (1985)	Comedy|Romance	391
3072	Moonstruck (1987)	Comedy	392
3074	Jeremiah Johnson (1972)	Western	393
3508	Outlaw Josey Wales, The (1976)	Western	394
1043	To Gillian on Her 37th Birthday (1996)	Drama|Romance	395
597	Pretty Woman (1990)	Comedy|Romance	396
383	Wyatt Earp (1994)	Western	397
2506	Other Sister, The (1999)	Comedy|Drama|Romance	398
3524	Arthur (1981)	Comedy|Romance	399
1569	My Best Friend's Wedding (1997)	Comedy|Romance	400
2082	Mighty Ducks, The (1992)	Children's|Comedy	401
3600	Blue Hawaii (1961)	Comedy|Musical	402
3604	Gypsy (1962)	Musical	403
2802	Tequila Sunrise (1988)	Action|Romance|Thriller	404
3536	Keeping the Faith (2000)	Comedy|Romance	405
3753	Patriot, The (2000)	Action|Drama|War	406
3682	Magnum Force (1973)	Western	407
2017	Babes in Toyland (1961)	Children's|Fantasy|Musical	408
3685	Prizzi's Honor (1985)	Comedy|Drama|Romance	409
3610	Roustabout (1964)	Musical	410
1296	Room with a View, A (1986)	Drama|Romance	411
838	Emma (1996)	Comedy|Drama|Romance	412
1007	Apple Dumpling Gang, The (1975)	Children's|Comedy|Western	413
1947	West Side Story (1961)	Musical|Romance	414
2966	Straight Story, The (1999)	Drama	415
266	Legends of the Fall (1994)	Drama|Romance|War|Western	416
17	Sense and Sensibility (1995)	Drama|Romance	417
1441	Benny & Joon (1993)	Comedy|Romance	418
1088	Dirty Dancing (1987)	Musical|Romance	419
912	Casablanca (1942)	Drama|Romance|War	420
199	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	Drama|Musical	421
1806	Paulie (1998)	Adventure|Children's|Comedy	422
2469	Peggy Sue Got Married (1986)	Comedy|Romance	423
2100	Splash (1984)	Comedy|Fantasy|Romance	424
1959	Out of Africa (1985)	Drama|Romance	425
1380	Grease (1978)	Comedy|Musical|Romance	426
569	Little Big League (1994)	Children's|Comedy	427
1674	Witness (1985)	Drama|Romance|Thriller	428
3565	Where the Heart Is (2000)	Comedy|Drama	429
861	Supercop (1992)	Action|Thriller	430
1997	Exorcist, The (1973)	Horror	431
1573	Face/Off (1997)	Action|Sci-Fi|Thriller	432
474	In the Line of Fire (1993)	Action|Thriller	433
1221	Godfather: Part II, The (1974)	Action|Crime|Drama	434
2336	Elizabeth (1998)	Drama	435
3425	Mo' Better Blues (1990)	Drama	436
1393	Jerry Maguire (1996)	Drama|Romance	437
1682	Truman Show, The (1998)	Drama	438
508	Philadelphia (1993)	Drama	439
3213	Batman: Mask of the Phantasm (1993)	Animation|Children's	440
42	Dead Presidents (1995)	Action|Crime|Drama	441
650	Moll Flanders (1996)	Drama	442
3500	Mr. Saturday Night (1992)	Comedy|Drama	443
3148	Cider House Rules, The (1999)	Drama	444
2702	Summer of Sam (1999)	Drama	445
1476	Private Parts (1997)	Comedy|Drama	446
1693	Amistad (1997)	Drama	447
151	Rob Roy (1995)	Drama|Romance|War	448
510	Poetic Justice (1993)	Drama	449
4	Waiting to Exhale (1995)	Comedy|Drama	450
1621	Soul Food (1997)	Drama	451
3155	Anna and the King (1999)	Drama|Romance	452
58	Postino, Il (The Postman) (1994)	Drama|Romance	453
2712	Eyes Wide Shut (1999)	Drama	454
2429	Mighty Joe Young (1998)	Adventure|Children's|Drama	455
1840	He Got Game (1998)	Drama	456
1916	Buffalo 66 (1998)	Action|Comedy|Drama	457
1488	Devil's Own, The (1997)	Action|Drama|Thriller|War	458
230	Dolores Claiborne (1994)	Drama|Thriller	459
1120	People vs. Larry Flynt, The (1996)	Drama	460
161	Crimson Tide (1995)	Drama|Thriller|War	461
1411	Hamlet (1996)	Drama	462
524	Rudy (1993)	Drama	463
1059	William Shakespeare's Romeo and Juliet (1996)	Drama|Romance	464
454	Firm, The (1993)	Drama|Thriller	465
1701	Deconstructing Harry (1997)	Comedy|Drama	466
1274	Akira (1988)	Adventure|Animation|Sci-Fi|Thriller	467
741	Ghost in the Shell (Kokaku kidotai) (1995)	Animation|Sci-Fi	468
1277	Cyrano de Bergerac (1990)	Action|Drama|Romance	469
1639	Chasing Amy (1997)	Drama|Romance	470
3528	Prince of Tides, The (1991)	Drama|Romance	471
2297	What Dreams May Come (1998)	Drama|Romance	472
465	Heaven & Earth (1993)	Action|Drama|War	473
1711	Midnight in the Garden of Good and Evil (1997)	Comedy|Crime|Drama|Mystery	474
538	Six Degrees of Separation (1993)	Drama	475
393	Street Fighter (1994)	Action	476
2442	Hilary and Jackie (1998)	Drama	477
73	Misérables, Les (1995)	Drama|Musical	478
3246	Malcolm X (1992)	Drama	479
3173	Any Given Sunday (1999)	Drama	480
105	Bridges of Madison County, The (1995)	Drama|Romance	481
253	Interview with the Vampire (1994)	Drama|Horror	482
3250	Alive (1993)	Drama	483
3252	Scent of a Woman (1992)	Drama	484
476	Inkwell, The (1994)	Comedy|Drama	485
111	Taxi Driver (1976)	Drama|Thriller	486
3259	Far and Away (1992)	Drama|Romance	487
1589	Cop Land (1997)	Crime|Drama|Mystery	488
2023	Godfather: Part III, The (1990)	Action|Crime|Drama	489
14	Nixon (1995)	Drama	490
337	What's Eating Gilbert Grape (1993)	Drama	491
2314	Beloved (1998)	Drama	492
2600	eXistenZ (1999)	Action|Sci-Fi|Thriller	493
269	My Crazy Life (Mi vida loca) (1993)	Drama	494
555	True Romance (1993)	Action|Crime|Romance	495
1660	Eve's Bayou (1997)	Drama	496
3265	Hard-Boiled (Lashou shentan) (1992)	Action|Crime	497
1735	Great Expectations (1998)	Drama|Romance	498
3481	High Fidelity (2000)	Comedy	499
2686	Red Violin, The (Le Violon rouge) (1998)	Drama|Mystery	500
2688	General's Daughter, The (1999)	Drama|Thriller	501
345	Adventures of Priscilla, Queen of the Desert, The (1994)	Comedy|Drama	502
2320	Apt Pupil (1998)	Drama|Thriller	503
25	Leaving Las Vegas (1995)	Drama|Romance	504
2324	Life Is Beautiful (La Vita è bella) (1997)	Comedy|Drama	505
2329	American History X (1998)	Drama	506
1810	Primary Colors (1998)	Drama	507
2541	Cruel Intentions (1999)	Drama	508
1673	Boogie Nights (1997)	Drama	509
1678	Joy Luck Club, The (1993)	Drama	510
1027	Robin Hood: Prince of Thieves (1991)	Drama	511
2699	Arachnophobia (1990)	Action|Comedy|Sci-Fi|Thriller	512
282	Nell (1994)	Drama	513
367	Mask, The (1994)	Comedy|Crime|Fantasy	514
223	Clerks (1994)	Comedy	515
3298	Boiler Room (2000)	Drama	516
3948	Meet the Parents (2000)	Comedy	517
805	Time to Kill, A (1996)	Drama	518
3510	Frequency (2000)	Drama|Thriller	519
300	Quiz Show (1994)	Drama	520
1777	Wedding Singer, The (1998)	Comedy|Romance	521
3301	Whole Nine Yards, The (2000)	Comedy|Crime	522
1343	Cape Fear (1991)	Thriller	523
3160	Magnolia (1999)	Drama	524
529	Searching for Bobby Fischer (1993)	Drama	525
3452	Romeo Must Die (2000)	Action|Romance	526
1060	Swingers (1996)	Comedy|Drama	527
